# lane depth part input_rows output_rows raw_output_rows
0 0 0 -2..129 0..127 4..131
1 0 1 126..257 128..255 4..131
2 1 0 -2..129 0..127 4..131
3 1 1 126..257 128..255 4..131
4 2 0 -2..129 0..127 4..131
5 2 1 126..257 128..255 4..131
6 3 0 -2..129 0..127 4..131
7 3 1 126..257 128..255 4..131
8 4 0 -2..129 0..127 4..131
9 4 1 126..257 128..255 4..131
10 5 0 -2..129 0..127 4..131
11 5 1 126..257 128..255 4..131
12 6 0 -2..129 0..127 4..131
13 6 1 126..257 128..255 4..131
14 7 0 -2..129 0..127 4..131
15 7 1 126..257 128..255 4..131
16 8 0 -2..129 0..127 4..131
17 8 1 126..257 128..255 4..131
18 9 0 -2..129 0..127 4..131
19 9 1 126..257 128..255 4..131
20 10 0 -2..129 0..127 4..131
21 10 1 126..257 128..255 4..131
22 11 0 -2..129 0..127 4..131
23 11 1 126..257 128..255 4..131
24 12 0 -2..129 0..127 4..131
25 12 1 126..257 128..255 4..131
26 13 0 -2..129 0..127 4..131
27 13 1 126..257 128..255 4..131
28 14 0 -2..129 0..127 4..131
29 14 1 126..257 128..255 4..131
30 15 0 -2..129 0..127 4..131
31 15 1 126..257 128..255 4..131
32 16 0 -2..129 0..127 4..131
33 16 1 126..257 128..255 4..131
34 17 0 -2..129 0..127 4..131
35 17 1 126..257 128..255 4..131
36 18 0 -2..129 0..127 4..131
37 18 1 126..257 128..255 4..131
38 19 0 -2..129 0..127 4..131
39 19 1 126..257 128..255 4..131
40 20 0 -2..129 0..127 4..131
41 20 1 126..257 128..255 4..131
42 21 0 -2..129 0..127 4..131
43 21 1 126..257 128..255 4..131
44 22 0 -2..129 0..127 4..131
45 22 1 126..257 128..255 4..131
46 23 0 -2..129 0..127 4..131
47 23 1 126..257 128..255 4..131
48 24 0 -2..129 0..127 4..131
49 24 1 126..257 128..255 4..131
50 25 0 -2..129 0..127 4..131
51 25 1 126..257 128..255 4..131
52 26 0 -2..129 0..127 4..131
53 26 1 126..257 128..255 4..131
54 27 0 -2..129 0..127 4..131
55 27 1 126..257 128..255 4..131
56 28 0 -2..129 0..127 4..131
57 28 1 126..257 128..255 4..131
58 29 0 -2..129 0..127 4..131
59 29 1 126..257 128..255 4..131
60 30 0 -2..129 0..127 4..131
61 30 1 126..257 128..255 4..131
62 31 0 -2..129 0..127 4..131
63 31 1 126..257 128..255 4..131
64 32 0 -2..129 0..127 4..131
65 32 1 126..257 128..255 4..131
66 33 0 -2..129 0..127 4..131
67 33 1 126..257 128..255 4..131
68 34 0 -2..129 0..127 4..131
69 34 1 126..257 128..255 4..131
70 35 0 -2..129 0..127 4..131
71 35 1 126..257 128..255 4..131
72 36 0 -2..129 0..127 4..131
73 36 1 126..257 128..255 4..131
74 37 0 -2..129 0..127 4..131
75 37 1 126..257 128..255 4..131
76 38 0 -2..129 0..127 4..131
77 38 1 126..257 128..255 4..131
78 39 0 -2..129 0..127 4..131
79 39 1 126..257 128..255 4..131
80 40 0 -2..129 0..127 4..131
81 40 1 126..257 128..255 4..131
82 41 0 -2..129 0..127 4..131
83 41 1 126..257 128..255 4..131
84 42 0 -2..129 0..127 4..131
85 42 1 126..257 128..255 4..131
86 43 0 -2..129 0..127 4..131
87 43 1 126..257 128..255 4..131
88 44 0 -2..129 0..127 4..131
89 44 1 126..257 128..255 4..131
90 45 0 -2..129 0..127 4..131
91 45 1 126..257 128..255 4..131
92 46 0 -2..129 0..127 4..131
93 46 1 126..257 128..255 4..131
94 47 0 -2..129 0..127 4..131
95 47 1 126..257 128..255 4..131
96 48 0 -2..129 0..127 4..131
97 48 1 126..257 128..255 4..131
98 49 0 -2..129 0..127 4..131
99 49 1 126..257 128..255 4..131
100 50 0 -2..129 0..127 4..131
101 50 1 126..257 128..255 4..131
102 51 0 -2..129 0..127 4..131
103 51 1 126..257 128..255 4..131
104 52 0 -2..129 0..127 4..131
105 52 1 126..257 128..255 4..131
106 53 0 -2..129 0..127 4..131
107 53 1 126..257 128..255 4..131
108 54 0 -2..129 0..127 4..131
109 54 1 126..257 128..255 4..131
110 55 0 -2..129 0..127 4..131
111 55 1 126..257 128..255 4..131
112 56 0 -2..129 0..127 4..131
113 56 1 126..257 128..255 4..131
114 57 0 -2..129 0..127 4..131
115 57 1 126..257 128..255 4..131
116 58 0 -2..129 0..127 4..131
117 58 1 126..257 128..255 4..131
118 59 0 -2..129 0..127 4..131
119 59 1 126..257 128..255 4..131
120 60 0 -2..129 0..127 4..131
121 60 1 126..257 128..255 4..131
122 61 0 -2..129 0..127 4..131
123 61 1 126..257 128..255 4..131
124 62 0 -2..129 0..127 4..131
125 62 1 126..257 128..255 4..131
126 63 0 -2..129 0..127 4..131
127 63 1 126..257 128..255 4..131
